Material ID,Formula,Transition Metal Group,Crystal System,Space Group,Total Magnetization (μB),Magnetization per Atom (µB/atom),Num Atoms,Is Stable
mp-1183265,Ag3Cl,Ag,Hexagonal,P6_3/mmc,5.22e-05,6.525e-06,8,False
mp-22922,AgCl,Ag,Cubic,Fm-3m,0.0,0.0,2,True
mp-570687,AgCl,Ag,Monoclinic,P2_1/m,0.0,0.0,4,False
mp-570858,AgCl,Ag,Orthorhombic,Cmcm,0.0,0.0,4,False
mp-726265,AgCl,Ag,Cubic,Pm-3m,0.0001168,5.84e-05,2,False
mp-1536202,AgCl,Ag,Orthorhombic,Pmmn,0.0,0.0,4,False
mp-22881,CdCl2,Cd,Trigonal,R-3m,0.0,0.0,3,True
mp-632403,CdCl2,Cd,Monoclinic,C2,0.0,0.0,3,False
mp-695850,CdCl2,Cd,Monoclinic,C2/m,0.0,0.0,3,False
mp-1181940,CdCl2,Cd,Tetragonal,P-4m2,0.0,0.0,3,False
mp-1080124,CdCl4,Cd,Orthorhombic,Cmce,4.000068,0.4000068,10,False
mp-1206433,CdCl6,Cd,Orthorhombic,Cmmm,3.9719953,0.5674279,7,False
mp-865324,LuCl3,Lu,Hexagonal,P6_3/mmc,0.0,0.0,8,True
mp-29487,PdCl2,Pd,Trigonal,R-3,0.0,0.0,18,True
mp-569008,PdCl2,Pd,Orthorhombic,Pnnm,0.0,0.0,6,False
mp-1018888,PdCl2,Pd,Monoclinic,P2/m,0.0005673,9.455e-05,6,False
mp-1018891,PdCl2,Pd,Monoclinic,P2_1/c,0.0,0.0,6,False
mp-1180041,PdCl2,Pd,Triclinic,P-1,0.0145905,0.0008105833333333333,18,False
mp-1147675,Rh3Cl4,Rh,Cubic,Pm-3n,0.0007537,5.383571428571429e-05,14,False
mp-867259,RhCl2,Rh,Tetragonal,P4_2/mnm,0.0030756,0.0005126,6,False
mp-27770,RhCl3,Rh,Monoclinic,C2/m,0.0,0.0,8,True
mp-974467,Ru3Cl,Ru,Tetragonal,I4/mmm,0.0054273,0.001356825,4,False
mp-22850,RuCl3,Ru,Hexagonal,P6_3/mcm,2.0806892,0.130043075,16,True
mp-570880,RuCl3,Ru,Orthorhombic,Pmmn,2.1233281,0.13270800625,16,False
mp-570997,RuCl3,Ru,Trigonal,P3_112,6.095032,0.25395966666666664,24,False
mp-2647063,RuCl3,Ru,Monoclinic,C2/m,4.0005589,0.25003493125,16,False
mp-1078708,TcCl3,Tc,Monoclinic,C2/m,1.999926,0.24999075,8,False
mp-1190915,TcCl3,Tc,Trigonal,R-3m,0.0,0.0,24,True
mp-27780,TcCl4,Tc,Orthorhombic,Pbca,24.0000001,0.6000000025000001,40,True
mp-1183968,Cu3Cl,Cu,Cubic,Pm-3m,4.11e-05,1.0275e-05,4,False
mp-22914,CuCl,Cu,Cubic,F-43m,0.0,0.0,2,False
mp-23287,CuCl,Cu,Cubic,Pa-3,0.0,0.0,16,False
mp-571386,CuCl,Cu,Cubic,Fm-3m,0.0,0.0,2,False
mp-1184046,CuCl,Cu,Hexagonal,P6_3mc,0.0,0.0,4,False
mp-1225654,CuCl,Cu,Trigonal,R3m,0.001342,0.000671,2,False
mp-30999,CuCl2,Cu,Monoclinic,C2/m,1.0004368,0.3334789333333333,3,True
